competitor,competitor_product_group_name,competitor_product_id,competitor_product_name,created_at,eta_date,grower_country,product_group_key,stem_length,stem_price,unit,variety_key
Flowermarketplace,Brassica Kale,2206450,BRASSICA ASSORTED,2025-04-17,2025-04-29,Ecuador,a06f225f-b6ca-4dc8-8b80-f3cb014b1794,,2.54,Stems,
Flowermarketplace,Brassica Kale,2206451,BRASSICA LAVENDER CRANE,2025-04-17,2025-04-29,Ecuador,a06f225f-b6ca-4dc8-8b80-f3cb014b1794,,2.54,Stems,
Flowermarketplace,Brassica Kale,2206453,BRASSICA RED CRANE,2025-04-17,2025-04-29,Ecuador,a06f225f-b6ca-4dc8-8b80-f3cb014b1794,,2.54,Stems,
Flowermarketplace,Brassica Kale,2206455,BRASSICA WHITE CRANE,2025-04-17,2025-04-29,Ecuador,a06f225f-b6ca-4dc8-8b80-f3cb014b1794,,2.54,Stems,
Flowermarketplace,Calla,2206457,CALLAS ALEGRIA,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206459,CALLAS ASPEN,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206461,CALLAS ASPEN BLUSH,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206463,CALLAS ASSORTED,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206999,CALLAS ASSORTED,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Bunch,
Flowermarketplace,Calla,2206465,CALLAS BLACK FOREST,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206467,CALLAS BOUTONNIERE,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206469,CALLAS BRIDESMAID BOUQUETS,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206471,CALLAS CALLA LEAVES,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206472,CALLAS CASCADE BOUQUET OPEN CUT,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.18,Bunch,
Flowermarketplace,Calla,2206474,CALLAS CRANBERRY,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206476,CALLAS CRYSTAL BLUSH,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206478,CALLAS CRYSTAL PINK,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206480,CALLAS CRYSTAL WHITE,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206482,CALLAS DARK CAPTAIN ROMANCE,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206483,CALLAS DARK SCHWARZWALDER,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206485,CALLAS DENVER,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206487,CALLAS FANTASIA,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206489,CALLAS FLAME,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206491,CALLAS FLOREX GOLD,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206493,CALLAS GRAN PARADISO,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
Flowermarketplace,Calla,2206495,CALLAS HAWAIIAN PAPAYA,2025-04-17,2025-04-29,Ecuador,abc3802a-cdb2-4f92-874a-fe36927e8ec1,,3.13,Stems,
